,source,author,title,publishedAt,description,urlToImage,url,sentiment_score
0,"{'name': 'Reuters', 'id': 'reuters'}",Reuters Editorial,Ethiopia PM says China will restructure railway loan,2018-09-06 13:33:30,"China has agreed to restructure some of Ethiopia's loans, including a loan for a $4 billion railway linking its capital Addis Ababa with neighbouring Djibouti, Ethiopia's Prime Minister Abiy Ahmed said on Thursday.",https://s3.reutersmedia.net/resources/r/?m=02&d=20180906&t=2&i=1301475263&w=1200&r=LYNXNPEE8519U-OZATP,https://af.reuters.com/article/topNews/idAFKCN1LM1SB-OZATP,1.0
1,"{'name': 'Reuters', 'id': 'reuters'}",Reuters Editorial,CANADA STOCKS-TSX gains on NAFTA deal progress,2018-09-06 13:32:13,Canada's main stock index rose on Thursday after U.S. and Canadian officials made progress in talks to revise the North American Free Trade Agreement.,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,https://www.reuters.com/article/canada-stocks/canada-stocks-tsx-gains-on-nafta-deal-progress-idUSL3N1VS4WE,5.0
2,"{'name': 'Reuters', 'id': 'reuters'}",Reuters Editorial,CBS board in $100 million exit negotiations with CEO Moonves - CNBC,2018-09-06 13:32:03,"Media company CBS Corp's board is in settlement talks with Chief Executive Officer Les Moonves and has offered about $100 million exit package, CNBC reported, citing people familiar with the negotiations.",https://s2.reutersmedia.net/resources/r/?m=02&d=20180906&t=2&i=1301472879&w=1200&r=LYNXNPEE85194,https://in.reuters.com/article/cbs-moonves/cbs-board-in-100-million-exit-negotiations-with-ceo-moonves-cnbc-idINKCN1LM1VJ,1.0
3,"{'name': 'Reuters', 'id': 'reuters'}",Reuters Editorial,Pebblebrook to buy LaSalle Hotel in $5.2 bln deal,2018-09-06 13:31:47,"U.S. hotel owner Pebblebrook Hotel Trust said it agreed to buy LaSalle Hotel Properties in a $5.2 billion cash-and-stock deal, a day after ditching a $4.8 billion all-cash offer from private equity firm Blackstone Group LP. (Reporting by Ankit Ajmera in Benga…",https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,https://www.reuters.com/article/us-lasalle-hotel-m-a-pebblebrook-htl/pebblebrook-to-buy-lasalle-hotel-in-5-2-billion-deal-idUSKCN1LM1XS,2.0
4,"{'name': 'Reuters', 'id': 'reuters'}",Nichola Saminather,Scottish drama 'Outlaw King' to kick off Toronto film festival,2018-09-06 13:31:15,"The world premiere of Netflix's Scottish drama ""Outlaw King"" opens the Toronto International Film Festival on Thursday, kicking off 10 days of movies seeking to grab attention in the upcoming Hollywood awards season.",https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,https://www.reuters.com/article/us-filmfestival-tiff-opening/scottish-drama-outlaw-king-to-kick-off-toronto-film-festival-idUSKCN1LM1TX,3.0
5,"{'name': 'Reuters', 'id': 'reuters'}",Reuters Editorial,Financial software maker SS&C to buy Intralinks in deal valued at $1.5 bln,2018-09-06 13:30:38,Financial services software provider SS&C Technologies Holdings Inc said on Thursday it would buy peer Intralinks Holdings Inc from affiliates of Siris Capital Group LCC in a deal valued at $1.5 billion.,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,https://www.reuters.com/article/us-intralinks-holdings-m-a-ss-c-technolo/financial-software-maker-ssc-to-buy-intralinks-in-deal-valued-at-1-5-billion-idUSKCN1LM1YG,0.0
6,"{'name': 'Reuters', 'id': 'reuters'}",Aditi Shah,India wants EVs to be 15 percent of all vehicle sales in five years,2018-09-06 13:29:29,"India expects electric vehicles to make up 15 percent of all vehicles sales in five years, its transport minister said on Thursday, as the country tries to curb greenhouse gas emissions and dependency on fossil fuels.",https://s2.reutersmedia.net/resources/r/?m=02&d=20180906&t=2&i=1301472878&w=1200&r=LYNXNPEE8519I,https://in.reuters.com/article/india-auto-electric-vehicle/india-wants-evs-to-be-15-percent-of-all-vehicle-sales-five-years-idINKCN1LM1WJ,0.0
7,"{'name': 'Reuters', 'id': 'reuters'}",Reuters Editorial,"U.S., Canadian trade negotiators set for second day of talks",2018-09-06 13:27:09,Top U.S. and Canadian trade negotiators were set for a second day of talks on Thursday over a revised North American Free Trade Agreement after their subordinates worked late into the night to flesh out opportunities for a compromise deal.,https://s3.reutersmedia.net/resources/r/?m=02&d=20180906&t=2&i=1301472783&w=1200&r=LYNXNPEE8519K,https://www.reuters.com/article/us-trade-nafta/u-s-canadian-trade-negotiators-set-for-second-day-of-talks-idUSKCN1LM1VN,6.0
8,"{'name': 'Reuters', 'id': 'reuters'}",Joseph Nasr,Merkel accuses far-right party of stoking ethnic tension,2018-09-06 13:22:17,Chancellor Angela Merkel on Thursday accused the far-right Alternative for Germany (AfD) of using violent protests over a fatal stabbing blamed on migrants to stir up ethnic tension.,https://s4.reutersmedia.net/resources/r/?m=02&d=20180906&t=2&i=1301471785&w=1200&r=LYNXNPEE8518T,https://af.reuters.com/article/worldNews/idAFKCN1LM1VF,-13.0
9,"{'name': 'Reuters', 'id': 'reuters'}",Karen Brettell,TREASURIES-Bonds steady before Friday's jobs report,2018-09-06 13:19:57,U.S. Treasury yields were little changed on the day on Thursday ahead of Friday’s highly anticipated jobs report for August.,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,https://www.reuters.com/article/usa-bonds/treasuries-bonds-steady-before-fridays-jobs-report-idUSL2N1VS0ML,0.0
